# Plate File Name: 16s_Plate_3.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 04:51:02 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 04:51:09 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 06:06:39 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 30 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
27,C3,Standard 3,Target 1,UNKNOWN,SYBR,None,Amp,13.97016593,26.33203894,0.967239208,6.778631152,TRUE,0.218324067,TRUE,3,9,,,,,FALSE
28,C4,S-L-27,Target 1,UNKNOWN,SYBR,None,Amp,27.23609227,26.33203894,0.934575471,6.778631152,TRUE,0.218324067,TRUE,3,21,,,,,FALSE
29,C5,S-L-27,Target 1,UNKNOWN,SYBR,None,Amp,27.34007122,26.33203894,0.951979906,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
30,C6,S-L-27,Target 1,UNKNOWN,SYBR,None,Amp,27.11564562,26.33203894,0.951635748,6.778631152,TRUE,0.218324067,TRUE,3,21,,,,,FALSE
31,C7,EC-4,Target 1,UNKNOWN,SYBR,None,Amp,27.30183977,26.33203894,0.953987036,6.778631152,TRUE,0.218324067,TRUE,3,22,,,,,FALSE
32,C8,EC-4,Target 1,UNKNOWN,SYBR,None,Amp,31.8777685,26.33203894,0.965206059,6.778631152,TRUE,0.218324067,TRUE,3,27,,,,,FALSE
33,C9,EC-4,Target 1,UNKNOWN,SYBR,None,Amp,32.06772517,26.33203894,0.954381057,6.778631152,TRUE,0.218324067,TRUE,3,27,,,,,FALSE
34,C10,Air,Target 1,UNKNOWN,SYBR,None,Amp,25.99647666,26.33203894,0.965117304,6.778631152,TRUE,0.218324067,TRUE,3,20,,,,,FALSE
35,C11,Air,Target 1,UNKNOWN,SYBR,None,Amp,26.16121471,26.33203894,0.952000408,6.778631152,TRUE,0.218324067,TRUE,3,20,,,,,FALSE
36,C12,Air,Target 1,UNKNOWN,SYBR,None,Amp,26.32684715,26.33203894,0.958685355,6.778631152,TRUE,0.218324067,TRUE,3,20,,,,,FALSE
37,D1,Standard 4,Target 1,UNKNOWN,SYBR,None,Amp,17.45816419,26.33203894,0.938678894,6.778631152,TRUE,0.218324067,TRUE,3,12,,,,,FALSE
38,D2,Standard 4,Target 1,UNKNOWN,SYBR,None,Amp,17.39974611,26.33203894,0.960456604,6.778631152,TRUE,0.218324067,TRUE,3,12,,,,,FALSE
39,D3,Standard 4,Target 1,UNKNOWN,SYBR,None,Amp,17.38960374,26.33203894,0.961125576,6.778631152,TRUE,0.218324067,TRUE,3,12,,,,,FALSE
