# Plate File Name: 16s_Plate_2.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 03:33:28 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 03:33:35 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 04:49:50 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 76 minutes 15 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
1,A1,Standard_1,Target 1,UNKNOWN,SYBR,None,Amp,7.177040634,27.23385673,0.980994247,6.295361035,TRUE,0.226773972,TRUE,3,3,,,,,FALSE
2,A2,Standard_1,Target 1,UNKNOWN,SYBR,None,Amp,7.187617171,27.23385673,0.984633446,6.295361035,TRUE,0.226773972,TRUE,3,3,,,,,FALSE
3,A3,Standard_1,Target 1,UNKNOWN,SYBR,None,Amp,7.079024574,27.23385673,0.976414629,6.295361035,TRUE,0.226773972,TRUE,3,3,,,,,FALSE
4,A4,C-L-23,Target 1,UNKNOWN,SYBR,None,Amp,30.12903879,27.23385673,0.95140567,6.295361035,TRUE,0.226773972,TRUE,3,25,,,,,FALSE
5,A5,C-L-23,Target 1,UNKNOWN,SYBR,None,Amp,30.05241657,27.23385673,0.933144952,6.295361035,TRUE,0.226773972,TRUE,3,25,,,,,FALSE
6,A6,C-L-23,Target 1,UNKNOWN,SYBR,None,Amp,30.30924085,27.23385673,0.941258535,6.295361035,TRUE,0.226773972,TRUE,3,25,,,,,FALSE
7,A7,W-L-0,Target 1,UNKNOWN,SYBR,None,Amp,28.09517953,27.23385673,0.963136838,6.295361035,TRUE,0.226773972,TRUE,3,23,,,,,FALSE
8,A8,W-L-0,Target 1,UNKNOWN,SYBR,None,Amp,28.47230868,27.23385673,0.94264345,6.295361035,TRUE,0.226773972,TRUE,3,23,,,,,FALSE
9,A9,W-L-0,Target 1,UNKNOWN,SYBR,None,Amp,28.37741259,27.23385673,0.949208056,6.295361035,TRUE,0.226773972,TRUE,3,23,,,,,FALSE
10,A10,V-N-3,Target 1,UNKNOWN,SYBR,None,Amp,31.22557118,27.23385673,0.941981536,6.295361035,TRUE,0.226773972,TRUE,3,25,,,,,FALSE
