# Plate File Name: 16s_Plate_4.eds,,,,,,,,,,,,,,,,,,,,,
# Description: ,,,,,,,,,,,,,,,,,,,,,
# User Name: ,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date/Time: 2019-09-06 06:12:04 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Date Created: 2016-04-05 01:57:06 AM GMT,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,
# Block Type: 96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: 272310751,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: appletini,,,,,,,,,,,,,,,,,,,,,
# Plate Run Start Date/Time: 2019-09-06 06:12:10 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Plate Run End Date/Time: 2019-09-06 07:27:41 PM GMT,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 75 minutes 30 seconds,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,
# Pre-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Post-read Stage/Step: ,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
1,A1,Standard 1,Target 1,UNKNOWN,SYBR,None,Amp,6.984404576,26.08863782,0.986982805,5.997570599,TRUE,0.177689763,TRUE,3,3,,,,,FALSE
2,A2,Standard 1,Target 1,UNKNOWN,SYBR,None,Amp,6.838957518,26.08863782,0.971119188,5.997570599,TRUE,0.177689763,TRUE,3,3,,,,,FALSE
3,A3,Standard 1,Target 1,UNKNOWN,SYBR,None,Amp,6.82792679,26.08863782,0.987631234,5.997570599,TRUE,0.177689763,TRUE,3,3,,,,,FALSE
4,A4,C-L-26,Target 1,UNKNOWN,SYBR,None,Amp,26.72475643,26.08863782,0.931927001,5.997570599,TRUE,0.177689763,TRUE,3,21,,,,,FALSE
5,A5,C-L-26,Target 1,UNKNOWN,SYBR,None,Amp,26.89207213,26.08863782,0.945462824,5.997570599,TRUE,0.177689763,TRUE,3,22,,,,,FALSE
6,A6,C-L-26,Target 1,UNKNOWN,SYBR,None,Amp,26.50456647,26.08863782,0.934800337,5.997570599,TRUE,0.177689763,TRUE,3,21,,,,,FALSE
7,A7,EC-9,Target 1,UNKNOWN,SYBR,None,Amp,28.90290654,26.08863782,0.927851364,5.997570599,TRUE,0.177689763,TRUE,3,24,,,,,FALSE
8,A8,EC-9,Target 1,UNKNOWN,SYBR,None,Amp,29.0321616,26.08863782,0.937365111,5.997570599,TRUE,0.177689763,TRUE,3,23,,,,,FALSE
9,A9,EC-9,Target 1,UNKNOWN,SYBR,None,Amp,29.04741277,26.08863782,0.925600907,5.997570599,TRUE,0.177689763,TRUE,3,24,,,,,FALSE
10,A10,V-N-26,Target 1,UNKNOWN,SYBR,None,Amp,26.49891751,26.08863782,0.88873521,5.997570599,TRUE,0.177689763,TRUE,3,22,,,,,FALSE
